追风筝的人,https://book.douban.com/subject/1770782/,8.9,343650人评价,为你，千千万万遍
解忧杂货店,https://book.douban.com/subject/25862578/,8.6,318108人评价,一碗精心熬制的东野牌鸡汤，拒绝很难
小王子,https://book.douban.com/subject/1084336/,9.0,265761人评价,献给长成了大人的孩子们
白夜行,https://book.douban.com/subject/3259440/,9.1,233432人评价,暗夜独行的残破灵魂，爱与恶本就难分难舍
围城,https://book.douban.com/subject/1008145/,8.9,212223人评价,对于“人艰不拆”四个字最彻底的违抗
三体,https://book.douban.com/subject/2567698/,8.8,189115人评价,你我不过都是虫子
挪威的森林,https://book.douban.com/subject/1046265/,8.0,205029人评价,村上之发轫，多少人的青春启蒙
嫌疑人X的献身,https://book.douban.com/subject/3211779/,8.9,183187人评价,数学好是一种极致的浪漫
活着,https://book.douban.com/subject/1082154/,9.1,165450人评价,活着本身就是人生最大的意义
红楼梦,https://book.douban.com/subject/1007305/,9.6,141053人评价,谁解其中味？
百年孤独,https://book.douban.com/subject/6082808/,9.2,146461人评价,尼采所谓的永劫复归，一场无始无终的梦魇
看见,https://book.douban.com/subject/20427187/,8.8,142302人评价,在这里看见中国
不能承受的生命之轻,https://book.douban.com/subject/1017143/,8.5,145881人评价,朝向媚俗的一次伟大的进军
达·芬奇密码,https://book.douban.com/subject/1040771/,8.2,137747人评价,一切畅销的因素都有了
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,9.0,118307人评价,中国当代城乡生活全景
三体Ⅱ,https://book.douban.com/subject/3066477/,9.3,110771人评价,无边的黑暗森林，比第一部更为恢弘壮丽
三体Ⅲ,https://book.douban.com/subject/5363767/,9.2,110996人评价,终章，何去何从
简爱（英文全本）,https://book.douban.com/subject/1141406/,8.5,117016人评价,灰姑娘在十九世纪
哈利·波特与魔法石,https://book.douban.com/subject/1041007/,9.0,96408人评价,羽加迪姆勒维奥萨！
天才在左 疯子在右,https://book.douban.com/subject/4242172/,8.2,108469人评价,简称“疯癫与文明”
我们仨,https://book.douban.com/subject/1023045/,8.7,99394人评价,平淡，坚忍，温情
傲慢与偏见,https://book.douban.com/subject/1083428/,8.8,95796人评价,所有现代言情小说的母体
送你一颗子弹,https://book.douban.com/subject/4238362/,8.6,96791人评价,犀利又温柔，穿过胸口隐隐作痛
明朝那些事儿（壹）,https://book.douban.com/subject/1873231/,8.7,93435人评价,历史本就是一件件“事儿”拼成的
飘,https://book.douban.com/subject/1068920/,9.3,87926人评价,革命时期的爱情，随风而逝
倾城之恋,https://book.douban.com/subject/1090043/,8.5,96627人评价,一段姻缘，需要一座城的倾覆来成全
目送,https://book.douban.com/subject/3995526/,8.7,93974人评价,不必追
月亮和六便士,https://book.douban.com/subject/1858513/,9.0,87692人评价,有多少人会经历顿悟，就有更少的人甘愿自我放逐
恶意,https://book.douban.com/subject/3646172/,8.4,87889人评价,无缘由的恨，冰冷彻骨
情人,https://book.douban.com/subject/1400705/,8.1,94068人评价,我已经老了，你呢？
霍乱时期的爱情,https://book.douban.com/subject/10594787/,9.0,81722人评价,义无反顾地直达爱情的核心
哈利·波特与阿兹卡班的囚徒,https://book.douban.com/subject/1071241/,8.9,79817人评价,小天狼星布莱克
狼图腾,https://book.douban.com/subject/1022060/,8.3,85913人评价,我们都是 狼的传人？
边城,https://book.douban.com/subject/1057244/,8.6,82025人评价,如水一般的忧愁与怅惘
哈利·波特与火焰杯,https://book.douban.com/subject/1009257/,9.0,77199人评价,整个系列的分水岭，暗色渐浓
1Q84 BOOK 1,https://book.douban.com/subject/4742918/,8.3,84155人评价,村上的野望，欢迎来到1Q84年
哈利·波特与密室,https://book.douban.com/subject/1039487/,8.9,77175人评价,渐入佳境，魔法世界全貌初现
许三观卖血记,https://book.douban.com/subject/1029791/,8.7,76600人评价,余华的悲凉，都在那一碗炒猪肝里了
撒哈拉的故事,https://book.douban.com/subject/1361264/,9.0,73426人评价,关于漂泊的一切
穆斯林的葬礼,https://book.douban.com/subject/1082334/,8.2,81254人评价,时代烙印鲜明的民族史诗
万历十五年,https://book.douban.com/subject/1041482/,8.9,72924人评价,见微知著，历史观的颠覆
莲花,https://book.douban.com/subject/1529893/,8.0,79884人评价,三个生命的交逢，灵魅清冷
向左走·向右走,https://book.douban.com/subject/1066462/,8.4,74470人评价,两条平行线相遇的可能
盗墓笔记,https://book.douban.com/subject/1948901/,8.3,72186人评价,想象奇诡的大型RPG游戏
哈利·波特与混血王子,https://book.douban.com/subject/1432596/,8.8,67677人评价,感情线纷乱的一部。再见邓布利多
窗边的小豆豆,https://book.douban.com/subject/1007914/,8.7,67805人评价,真正懂孩子的教育经
黄金时代,https://book.douban.com/subject/1089243/,8.8,67185人评价,能把性爱写得如此坦荡的，大概只有王二了
苏菲的世界,https://book.douban.com/subject/1045818/,8.5,68682人评价,最平易近人的哲学入门
三国演义（全二册）,https://book.douban.com/subject/1019568/,9.2,60808人评价,是非成败转头空
天龙八部,https://book.douban.com/subject/1255625/,9.1,61707人评价,“有情皆孽，无人不冤”
哈利·波特与凤凰社,https://book.douban.com/subject/1013129/,8.7,64098人评价,暴脾气的哈利
悟空传,https://book.douban.com/subject/1003000/,8.4,67453人评价,猴子还是那个猴子，世界早已不是原来的世界
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,8.6,65203人评价,你自己就是最大的宝藏
海边的卡夫卡,https://book.douban.com/subject/1059419/,8.1,66501人评价,背负诅咒的少年，平行世界中的奥德赛
灿烂千阳,https://book.douban.com/subject/2143732/,8.8,60110人评价,唯有希望与爱可以驱散阴霾
呼啸山庄,https://book.douban.com/subject/1119522/,8.4,63247人评价,近乎暴虐的爱与恨，中文译名后无来者
老人与海,https://book.douban.com/subject/1064275/,8.3,63198人评价,正是悲壮赋予生活以意义
亲爱的安德烈,https://book.douban.com/subject/3369793/,8.7,60584人评价,龙应台母子对话，两代人的思想碰撞
兄弟（上）,https://book.douban.com/subject/1401425/,8.3,62333人评价,历史苦难中的个人灾变
人类简史,https://book.douban.com/subject/25985021/,9.1,56246人评价,跟着人类一同走过十万年
1984,https://book.douban.com/subject/4820710/,9.3,54570人评价,栗树荫下，我出卖你，你出卖我
基督山伯爵,https://book.douban.com/subject/1085860/,9.0,56744人评价,完美的复仇，金庸用法语写作应该就是这样
少有人走的路,https://book.douban.com/subject/1775691/,8.4,61138人评价,成熟的心智通向更完善的自我
人间失格,https://book.douban.com/subject/4011670/,8.3,61299人评价,令人无从怜悯的绝望
笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,9.0,54794人评价,武侠的壳，政治斗争的核
民主的细节,https://book.douban.com/subject/3813669/,8.6,57233人评价,公民养成手册
无声告白,https://book.douban.com/subject/26382433/,8.2,59836人评价,莉迪亚死了，可他们还不知道
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,9.2,52150人评价,侦探小说鼻祖
遇见未知的自己,https://book.douban.com/subject/2340100/,8.1,57698人评价,都市灵修速成
茶花女,https://book.douban.com/subject/1013380/,8.2,56138人评价,妓女应当拥有爱情吗？
情书,https://book.douban.com/subject/1080370/,8.6,52568人评价,一场误会中的两段爱情，东方式的含蓄隐忍
白鹿原,https://book.douban.com/subject/1085799/,8.6,51438人评价,中国乡村史诗
一个陌生女人的来信,https://book.douban.com/subject/2154960/,8.7,51993人评价,暗恋的极致
沉默的大多数,https://book.douban.com/subject/1054685/,9.1,48941人评价,沉默是沉默者的通行证
神雕侠侣,https://book.douban.com/subject/1255624/,8.8,49613人评价,至情至性，情大于武
当我谈跑步时我谈些什么,https://book.douban.com/subject/3369600/,8.1,51188人评价,村上同志告诉我们，身体是革命的本钱
东方快车谋杀案,https://book.douban.com/subject/1827374/,9.0,45353人评价,谋杀诡计惊人，波洛的抉择耐人寻味
鲁滨逊漂流记,https://book.douban.com/subject/1016003/,8.0,51260人评价,最早的荒野求生
局外人,https://book.douban.com/subject/4908885/,9.0,45108人评价,人生在世，永远也不该演戏作假
肖申克的救赎,https://book.douban.com/subject/1829226/,9.1,44008人评价,希望让人自由，电影实在太有名
这些人，那些事,https://book.douban.com/subject/6388661/,8.8,45720人评价,平淡叙述下的惊心动魄
这些都是你给我的爱,https://book.douban.com/subject/4714734/,8.4,46287人评价,只言片语的温暖
巴黎圣母院,https://book.douban.com/subject/1024197/,8.3,46911人评价,潜藏于残缺下的美与崇高
羊脂球,https://book.douban.com/subject/1205370/,8.1,48053人评价,资产阶级的道貌岸然
喜宝,https://book.douban.com/subject/2022979/,8.0,47879人评价,爱情才是终极的奢侈品
无人生还,https://book.douban.com/subject/3006581/,8.9,42132人评价,童谣杀人案
呐喊,https://book.douban.com/subject/1449351/,8.8,42091人评价,新文学的第一声呐喊
陪安东尼度过漫长岁月,https://book.douban.com/subject/3014576/,8.3,44762人评价,真正的片段式写作
巨人的陨落,https://book.douban.com/subject/26698660/,8.9,41226人评价,五个家族，一场战争
爱你就像爱生命,https://book.douban.com/subject/3071717/,8.8,42235人评价,王小波与李银河的两地书
红玫瑰与白玫瑰,https://book.douban.com/subject/1014278/,8.4,44530人评价,蚊子血还是饭黏子？
了不起的盖茨比,https://book.douban.com/subject/1008988/,8.3,44506人评价,梦，就像黛西家的那一缕绿光
乌合之众,https://book.douban.com/subject/1012611/,8.3,44506人评价,群氓心理剖析
华胥引（全二册）,https://book.douban.com/subject/5916880/,8.4,42973人评价,现实不如梦中的圆满
动物农场,https://book.douban.com/subject/2035179/,9.2,39044人评价,太阳底下并无新事
鬼吹灯之精绝古城,https://book.douban.com/subject/1882933/,8.1,43544人评价,盗墓祖师名不虚传
安徒生童话故事集,https://book.douban.com/subject/1046209/,9.2,38412人评价,远不是童话那么简单
半生缘,https://book.douban.com/subject/1963684/,8.6,40653人评价,世钧，我们回不去了
骆驼祥子,https://book.douban.com/subject/1043815/,8.3,41154人评价,如骆驼喘息般深刻的绝望
地下铁,https://book.douban.com/subject/1056733/,8.3,40700人评价,黑暗世界中的点滴亮光
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,8.9,35807人评价,侠之大者，为国为民
如何阅读一本书,https://book.douban.com/subject/1013208/,8.4,37540人评价,读书的方法论
月亮忘記了,https://book.douban.com/subject/1358873/,8.6,36759人评价,月明星稀的晚上，看不见的，看见了
此间的少年,https://book.douban.com/subject/1020459/,8.4,37326人评价,象牙塔里的金庸群侠
孤独六讲,https://book.douban.com/subject/4124727/,8.1,38829人评价,作为一种美学的孤独
一个人的朝圣,https://book.douban.com/subject/24934182/,8.1,37754人评价,关于爱和信念的旅行
一個人住第5年,https://book.douban.com/subject/1346815/,8.4,35935人评价,独居生活之乐
阿Q正传,https://book.douban.com/subject/1088065/,8.7,34512人评价,哀其不幸，怒其不争
步步惊心,https://book.douban.com/subject/1812439/,8.1,37024人评价,现世太苦，不如穿越回去从头来过
常识,https://book.douban.com/subject/3344676/,8.1,36834人评价,献给这个常识稀缺的时代
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,9.2,31742人评价,以血书写的文学
寻路中国,https://book.douban.com/subject/5414391/,9.0,32659人评价,中国在路上，非虚构写作所能达到的高度
刀锋,https://book.douban.com/subject/2035162/,9.0,32380人评价,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
时间旅行者的妻子,https://book.douban.com/subject/2056749/,8.1,36357人评价,在时间的缝隙中穿行，然后相遇
荆棘鸟,https://book.douban.com/subject/1086249/,8.6,33671人评价,澳洲乱世情
一只特立独行的猪,https://book.douban.com/subject/1767945/,8.8,32973人评价,生活就是个缓慢受锤的过程，至少还可以特立独行
孩子你慢慢来,https://book.douban.com/subject/4207781/,8.8,32843人评价,我们现在怎样做母亲
哭泣的骆驼,https://book.douban.com/subject/1029111/,8.9,31897人评价,沙漠中寻常的生与死
梦里花落知多少,https://book.douban.com/subject/2070844/,8.9,31953人评价,哀而不伤
你好，旧时光（上 下）,https://book.douban.com/subject/4166819/,8.8,31383人评价,原作名切题
格林童话全集,https://book.douban.com/subject/1043008/,8.9,31046人评价,许多隐晦
失恋33天,https://book.douban.com/subject/4238754/,8.1,34739人评价,失恋是一种病，痊愈之后百毒不侵
尘埃落定,https://book.douban.com/subject/1080309/,8.4,32971人评价,一个傻子的土司家族传奇
麦琪的礼物,https://book.douban.com/subject/1051193/,8.6,32223人评价,日常的奇迹
那些回不去的年少时光,https://book.douban.com/subject/4231381/,8.5,31673人评价,所有你曾热爱却正在遗忘的人和事
金锁记,https://book.douban.com/subject/3017857/,8.5,32081人评价,曹七巧就像希克厉，一个扭曲的英雄
城南旧事,https://book.douban.com/subject/1254588/,8.9,30190人评价,长亭外，古道边，芳草碧连天
海贼王,https://book.douban.com/subject/1474773/,9.5,27769人评价,热血，梦想，希望
历史深处的忧虑,https://book.douban.com/subject/1027191/,9.0,29506人评价,窥见美国社会的一扇窗
我不喜欢这世界，我只喜欢你,https://book.douban.com/subject/26414020/,8.0,31356人评价,一想到能和你共度余生，我就对余生充满期待
鹿鼎记（全五册）,https://book.douban.com/subject/1212893/,8.8,29638人评价,武侠的解构，流氓的狂欢
菊与刀,https://book.douban.com/subject/1022238/,8.2,32316人评价,复杂矛盾的日本民族
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,8.9,29090人评价,现实主义与浪漫主义的至高杰作
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,8.7,29762人评价,完美主义者的最高形态
球状闪电,https://book.douban.com/subject/1192090/,8.7,29904人评价,量子之外，没有真相
大地之灯,https://book.douban.com/subject/1963310/,8.2,31721人评价,两代人的成长与救赎
东霓,https://book.douban.com/subject/4874131/,8.1,31743人评价,自毁而偏执的东霓
长恨歌,https://book.douban.com/subject/1082349/,8.2,31600人评价,现代上海史诗
你一定爱读的极简欧洲史,https://book.douban.com/subject/5366248/,8.2,30857人评价,欧洲，为什么老是抢第一？
看不见的城市,https://book.douban.com/subject/1863930/,8.8,27988人评价,每一座城市都只在想象中耸立，又在描述中坍圮
香水,https://book.douban.com/subject/1292416/,8.5,28899人评价,恋味癖谋杀案
飞鸟集,https://book.douban.com/subject/1058661/,8.8,27673人评价,淡泊，超脱
查令十字街84号,https://book.douban.com/subject/1316648/,8.3,29618人评价,文艺青年的爱情地标
橙,https://book.douban.com/subject/5327697/,8.2,29319人评价,定做一个刻着“不过如此”的章，盖在封面上
一九八四·动物农场,https://book.douban.com/subject/1082387/,9.3,26078人评价,一个预言和一个寓言，令人窒息的政治恐怖
富爸爸，穷爸爸,https://book.douban.com/subject/1033778/,8.2,28683人评价,人穷穷观念，人富钱生钱
伊豆的舞女,https://book.douban.com/subject/1005521/,8.2,29333人评价,静美又残酷，无限柔软的川端
匆匆那年（上下）,https://book.douban.com/subject/2567919/,8.3,28694人评价,不悔梦归处 只恨太匆匆
江城,https://book.douban.com/subject/7060185/,9.0,26069人评价,外国人的寻路中国
往事并不如烟,https://book.douban.com/subject/1059336/,8.6,27336人评价,知识分子的命运浮沉
世界尽头与冷酷仙境,https://book.douban.com/subject/1291809/,8.6,27626人评价,交叉平行蒙太奇
影响力,https://book.douban.com/subject/1786387/,8.6,27206人评价,营销防骗指南
倚天屠龙记(共四册),https://book.douban.com/subject/1070851/,8.5,27457人评价,不识张郎是张郎
把时间当作朋友,https://book.douban.com/subject/3609132/,8.5,27831人评价,反成功学的成功学
中国历代政治得失,https://book.douban.com/subject/1003479/,9.1,25466人评价,一部简明的“中国政治制度史”
冰与火之歌（卷一）,https://book.douban.com/subject/1336330/,9.3,24660人评价,凛冬将至。无比宏大的世界观
朝花夕拾,https://book.douban.com/subject/1449352/,8.7,26554人评价,鲁迅的旧事重提
七夜雪,https://book.douban.com/subject/1919201/,8.4,26792人评价,抵不过时间
红与黑,https://book.douban.com/subject/1007433/,8.2,28031人评价,阴谋与爱情
杀死一只知更鸟,https://book.douban.com/subject/6781808/,9.2,24248人评价,有一种东西不能遵循从众原则，那就是——人的良心
时间简史,https://book.douban.com/subject/1034282/,8.8,25432人评价,霍金与上帝的战争
那些年，我们一起追的女孩,https://book.douban.com/subject/1958227/,8.2,27645人评价,那些年错过的大雨
ZOO,https://book.douban.com/subject/2297697/,8.6,26179人评价,噩梦中的一丝温度
蔷薇岛屿,https://book.douban.com/subject/1063190/,8.0,28197人评价,你们不会彼此遗忘。只会彼此消失
阿狸·梦之城堡,https://book.douban.com/subject/3554154/,9.0,24638人评价,治愈
天使与魔鬼,https://book.douban.com/subject/1228110/,8.2,27155人评价,科学与宗教的大乱斗
水浒传（全二册）,https://book.douban.com/subject/1008357/,8.5,25731人评价,风风火火闯九州
陆犯焉识,https://book.douban.com/subject/6880158/,8.8,24448人评价,翻手为苍凉，覆手为繁华
最初的爱情 最后的仪式,https://book.douban.com/subject/4011440/,8.0,27362人评价,别被封面骗了
最好的我们,https://book.douban.com/subject/24754316/,8.8,23738人评价,耿耿余淮
雷雨,https://book.douban.com/subject/1013416/,8.5,25204人评价,人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了
西游记（全二册）,https://book.douban.com/subject/1029553/,8.8,24106人评价,取经之路就在脚下
瓦尔登湖,https://book.douban.com/subject/1865089/,8.4,25391人评价,另一种生活
国境以南 太阳以西,https://book.douban.com/subject/1015452/,8.3,25987人评价,灾星下出生的恋人们
佛祖在一号线,https://book.douban.com/subject/4872671/,8.2,25817人评价,嬉笑怒骂的常识分子
生活在别处,https://book.douban.com/subject/1013225/,8.4,25157人评价,此处的生活唯有残酷
自控力,https://book.douban.com/subject/10786473/,8.3,25226人评价,要么瘦，要么死
心是孤独的猎手,https://book.douban.com/subject/1424741/,8.5,24123人评价,镇上有两个哑巴，他们总是在一起。
京华烟云,https://book.douban.com/subject/1391191/,8.5,24134人评价,林语堂的《红楼梦》
狂人日记,https://book.douban.com/subject/1398395/,8.7,23450人评价,中国现代文学史上第一篇真正的现代白话小说
海底两万里,https://book.douban.com/subject/1085470/,8.4,24337人评价,你听说过鹦鹉螺号吗？
夏洛的网,https://book.douban.com/subject/1036274/,8.5,23807人评价,猪与蜘蛛
设计中的设计,https://book.douban.com/subject/1941558/,8.6,23556人评价,日常生活的无限可能性
变形记,https://book.douban.com/subject/1213546/,8.4,24204人评价,格里高里清早醒来发现自己变成了甲虫
我执,https://book.douban.com/subject/3642673/,8.0,25292人评价,梁文道的私密日记
没有色彩的多崎作和他的巡礼之年,https://book.douban.com/subject/25733470/,8.2,24205人评价,并不是一切都消失在了时间的长河里
偷书贼,https://book.douban.com/subject/2180619/,8.0,24842人评价,不能说偷，是窃，窃你懂吗
你今天真好看,https://book.douban.com/subject/26602392/,8.7,22569人评价,呆萌可爱的动物段子手
激荡三十年（上）,https://book.douban.com/subject/1970428/,8.8,22075人评价,这是一个最好的时代，也是一个最坏的时代
文学回忆录（全2册）,https://book.douban.com/subject/20440644/,9.2,21031人评价,木心留给世界的礼物
人性的弱点全集,https://book.douban.com/subject/1056295/,8.3,23172人评价,西方世界最持久的人文畅销书
呼兰河传,https://book.douban.com/subject/1060852/,8.9,21634人评价,萧红的童年往事
一句顶一万句,https://book.douban.com/subject/3633461/,8.7,22006人评价,一句胜过千年
九州·缥缈录,https://book.douban.com/subject/1321017/,8.8,21005人评价,乱世的英雄史诗
我与地坛,https://book.douban.com/subject/1209899/,9.0,20685人评价,这是你的罪孽与福祉
尼罗河上的惨案,https://book.douban.com/subject/1818347/,8.7,21648人评价,阿婆代表作之一
人生,https://book.douban.com/subject/3803820/,8.4,21963人评价,如果你是高加林，你要如何选择？
